ProductBenefitRecommendedSIID,ProductCode,BenefitCode,Age,RecommendedSI,dtmCreated,CreatedBy,dtmUpdated,UpdatedBy,dtmValidFrom,dtmValidTo
1,GFI,DTH,18,15000,50:23.3,System02,45:42.6,System02,00:00.0,44:42.6
2,GFI,DTH,19,15000,50:23.4,System02,45:42.7,System02,00:00.0,44:42.7
3,GFI,DTH,20,15000,50:23.4,System02,45:42.7,System02,00:00.0,44:42.7
4,GFI,DTH,21,15000,50:23.4,System02,45:42.7,System02,00:00.0,44:42.7
5,GFI,DTH,22,15000,50:23.4,System02,45:42.7,System02,00:00.0,44:42.7
6,GFI,DTH,23,15000,50:23.4,System02,45:42.8,System02,00:00.0,44:42.8
7,GFI,DTH,24,15000,50:23.4,System02,45:42.8,System02,00:00.0,44:42.8
8,GFI,DTH,25,15000,50:23.4,System02,45:42.8,System02,00:00.0,44:42.8
9,GFI,DTH,26,15000,50:23.4,System02,45:42.8,System02,00:00.0,44:42.8
10,GFI,DTH,27,15000,50:23.4,System02,45:42.8,System02,00:00.0,44:42.8
11,GFI,DTH,28,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:42.9
12,GFI,DTH,29,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:42.9
13,GFI,DTH,30,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:42.9
14,GFI,DTH,31,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:42.9
15,GFI,DTH,32,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:42.9
16,GFI,DTH,33,15000,50:23.4,System02,45:42.9,System02,00:00.0,44:43.0
17,GFI,DTH,34,15000,50:23.4,System02,45:43.0,System02,00:00.0,44:43.0
18,GFI,DTH,35,15000,50:23.4,System02,45:43.0,System02,00:00.0,44:43.0
19,GFI,DTH,36,15000,50:23.4,System02,45:43.0,System02,00:00.0,44:43.0
20,GFI,DTH,37,15000,50:23.4,System02,45:43.0,System02,00:00.0,44:43.0
21,GFI,DTH,38,15000,50:23.4,System02,45:43.1,System02,00:00.0,44:43.1
22,GFI,DTH,39,15000,50:23.4,System02,45:43.1,System02,00:00.0,44:43.1
23,GFI,DTH,40,15000,50:23.4,System02,45:43.1,System02,00:00.0,44:43.1
24,GFI,DTH,41,15000,50:23.4,System02,45:43.1,System02,00:00.0,44:43.1
25,GFI,DTH,42,15000,50:23.4,System02,45:43.2,System02,00:00.0,44:43.2
26,GFI,DTH,43,15000,50:23.4,System02,45:43.2,System02,00:00.0,44:43.2
27,GFI,DTH,44,15000,50:23.4,System02,45:43.2,System02,00:00.0,44:43.2
28,GFI,DTH,45,15000,50:23.4,System02,45:43.2,System02,00:00.0,44:43.2
29,GFI,DTH,46,14000,50:23.4,System02,45:43.2,System02,00:00.0,44:43.2
30,GFI,DTH,47,14000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
31,GFI,DTH,48,14000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
32,GFI,DTH,49,14000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
33,GFI,DTH,50,14000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
34,GFI,DTH,51,13000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
35,GFI,DTH,52,13000,50:23.4,System02,45:43.3,System02,00:00.0,44:43.3
36,GFI,DTH,53,13000,50:23.4,System02,45:43.4,System02,00:00.0,44:43.4
37,GFI,DTH,54,13000,50:23.4,System02,45:43.4,System02,00:00.0,44:43.4
38,GFI,DTH,55,13000,50:23.4,System02,45:43.4,System02,00:00.0,44:43.4
39,GFI,DTH,56,11000,50:23.4,System02,45:43.4,System02,00:00.0,44:43.4
40,GFI,DTH,57,11000,50:23.4,System02,45:43.4,System02,00:00.0,44:43.4
41,GFI,DTH,58,11000,50:23.4,System02,45:43.5,System02,00:00.0,44:43.5
