ProductBenefitRecommendedSIBetaID,ProductCode,BenefitCode,Age,RecommendedSI,DtmCreated,CreatedBy,DtmUpdated,UpdatedBy,DtmValidFrom,DtmValidTo
1,GFI,DTH,18,15000,25:24.5,System02,59:59.0,Shalok01,25:24.5,59:59.0
2,GFI,DTH,19,15000,25:24.5,System02,59:59.0,Shalok01,25:24.5,59:59.0
3,GFI,DTH,20,15000,25:24.5,System02,59:59.0,Shalok01,25:24.5,59:59.0
4,GFI,DTH,21,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
5,GFI,DTH,22,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
6,GFI,DTH,23,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
7,GFI,DTH,24,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
8,GFI,DTH,25,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
9,GFI,DTH,26,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
10,GFI,DTH,27,15000,25:24.6,System02,59:59.0,Shalok01,25:24.6,59:59.0
11,GFI,DTH,28,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
12,GFI,DTH,29,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
13,GFI,DTH,30,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
14,GFI,DTH,31,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
15,GFI,DTH,32,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
16,GFI,DTH,33,15000,25:24.7,System02,59:59.0,Shalok01,25:24.7,59:59.0
17,GFI,DTH,34,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
18,GFI,DTH,35,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
19,GFI,DTH,36,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
20,GFI,DTH,37,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
21,GFI,DTH,38,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
22,GFI,DTH,39,15000,25:24.8,System02,59:59.0,Shalok01,25:24.8,59:59.0
23,GFI,DTH,40,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
24,GFI,DTH,41,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
25,GFI,DTH,42,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
26,GFI,DTH,43,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
27,GFI,DTH,44,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
28,GFI,DTH,45,15000,25:24.9,System02,59:59.0,Shalok01,25:24.9,59:59.0
29,GFI,DTH,46,15000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
30,GFI,DTH,47,15000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
31,GFI,DTH,48,15000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
32,GFI,DTH,49,14000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
33,GFI,DTH,50,14000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
34,GFI,DTH,51,14000,25:25.0,System02,59:59.0,Shalok01,25:25.0,59:59.0
35,GFI,DTH,52,14000,25:25.1,System02,59:59.0,Shalok01,25:25.1,59:59.0
36,GFI,DTH,53,14000,25:25.1,System02,59:59.0,Shalok01,25:25.1,59:59.0
37,GFI,DTH,54,14000,25:25.1,System02,59:59.0,Shalok01,25:25.1,59:59.0
38,GFI,DTH,55,14000,25:25.1,System02,59:59.0,Shalok01,25:25.1,59:59.0
39,GFI,DTH,56,13000,25:25.1,System02,59:59.0,Shalok01,25:25.1,59:59.0
40,GFI,DTH,57,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
41,GFI,DTH,58,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
42,GFI,DTH,59,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
43,GFI,DTH,60,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
44,GFI,DTH,61,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
45,GFI,DTH,62,13000,25:25.2,System02,59:59.0,Shalok01,25:25.2,59:59.0
46,GFI,DTH,63,13000,25:25.3,System02,59:59.0,Shalok01,25:25.3,59:59.0
47,GFI,DTH,64,13000,25:25.3,System02,59:59.0,Shalok01,25:25.3,59:59.0
48,GFI,DTH,65,12000,25:25.3,System02,59:59.0,Shalok01,25:25.3,59:59.0
49,GFI,DTH,66,12000,25:25.3,System02,59:59.0,Shalok01,25:25.3,59:59.0
50,GFI,DTH,67,12000,25:25.3,System02,59:59.0,Shalok01,25:25.3,59:59.0
51,GFI,DTH,68,12000,25:25.4,System02,59:59.0,Shalok01,25:25.4,59:59.0
52,GFI,DTH,69,11000,25:25.4,System02,59:59.0,Shalok01,25:25.4,59:59.0
53,GFI,DTH,70,11000,25:25.4,System02,59:59.0,Shalok01,25:25.4,59:59.0
54,GFI,DTH,71,11000,25:25.4,System02,59:59.0,Shalok01,25:25.4,59:59.0
55,GFI,DTH,72,11000,25:25.4,System02,59:59.0,Shalok01,25:25.4,59:59.0
56,GFI,DTH,73,11000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
57,GFI,DTH,74,10000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
58,GFI,DTH,75,10000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
59,GFI,DTH,76,10000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
60,GFI,DTH,77,10000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
61,GFI,DTH,78,10000,25:25.5,System02,59:59.0,Shalok01,25:25.5,59:59.0
62,GFI,DTH,79,10000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
63,GLF,DTH,18,15000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
64,GLF,DTH,19,15000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
65,GLF,DTH,20,15000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
66,GLF,DTH,21,15000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
67,GLF,DTH,22,15000,25:25.6,System02,59:59.0,Shalok01,25:25.6,59:59.0
68,GLF,DTH,23,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
69,GLF,DTH,24,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
70,GLF,DTH,25,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
71,GLF,DTH,26,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
72,GLF,DTH,27,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
73,GLF,DTH,28,15000,25:25.7,System02,59:59.0,Shalok01,25:25.7,59:59.0
74,GLF,DTH,29,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
75,GLF,DTH,30,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
76,GLF,DTH,31,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
77,GLF,DTH,32,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
78,GLF,DTH,33,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
79,GLF,DTH,34,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
80,GLF,DTH,35,15000,25:25.8,System02,59:59.0,Shalok01,25:25.8,59:59.0
81,GLF,DTH,36,15000,25:25.9,System02,59:59.0,Shalok01,25:25.9,59:59.0
82,GLF,DTH,37,15000,25:25.9,System02,59:59.0,Shalok01,25:25.9,59:59.0
83,GLF,DTH,38,15000,25:25.9,System02,59:59.0,Shalok01,25:25.9,59:59.0
84,GLF,DTH,39,15000,25:25.9,System02,59:59.0,Shalok01,25:25.9,59:59.0
85,GLF,DTH,40,15000,25:25.9,System02,59:59.0,Shalok01,25:25.9,59:59.0
86,GLF,DTH,41,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
87,GLF,DTH,42,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
88,GLF,DTH,43,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
89,GLF,DTH,44,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
90,GLF,DTH,45,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
91,GLF,DTH,46,15000,25:26.0,System02,59:59.0,Shalok01,25:26.0,59:59.0
92,GLF,DTH,47,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
93,GLF,DTH,48,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
94,GLF,DTH,49,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
95,GLF,DTH,50,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
96,GLF,DTH,51,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
97,GLF,DTH,52,15000,25:26.1,System02,59:59.0,Shalok01,25:26.1,59:59.0
98,GLF,DTH,53,15000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
99,GLF,DTH,54,15000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
100,GLF,DTH,55,15000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
101,GLF,DTH,56,15000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
102,GLF,DTH,57,15000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
103,GLF,DTH,58,13000,25:26.2,System02,59:59.0,Shalok01,25:26.2,59:59.0
104,GLF,DTH,59,13000,25:26.3,System02,59:59.0,Shalok01,25:26.3,59:59.0
105,GLF,DTH,60,13000,25:26.3,System02,59:59.0,Shalok01,25:26.3,59:59.0
106,GLF,DTH,61,13000,25:26.3,System02,59:59.0,Shalok01,25:26.3,59:59.0
107,GLF,DTH,62,13000,25:26.3,System02,59:59.0,Shalok01,25:26.3,59:59.0
108,GLF,DTH,63,13000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
109,GLF,DTH,64,13000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
110,GLF,DTH,65,12000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
111,GLF,DTH,66,12000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
112,GLF,DTH,67,11000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
113,GLF,DTH,68,11000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
114,GLF,DTH,69,11000,25:26.4,System02,59:59.0,Shalok01,25:26.4,59:59.0
115,GLF,DTH,70,11000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
116,GLF,DTH,71,11000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
117,GLF,DTH,72,10000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
118,GLF,DTH,73,10000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
119,GLF,DTH,74,9000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
120,GLF,DTH,75,10000,25:26.5,System02,59:59.0,Shalok01,25:26.5,59:59.0
121,GLF,DTH,76,8000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
122,GLF,DTH,77,10000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
123,GLF,DTH,78,8000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
124,GLF,DTH,79,8000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
125,GSA,ACI,18,500000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
126,GSA,ACI,19,500000,25:26.6,System02,59:59.0,Shalok01,25:26.6,59:59.0
127,GSA,ACI,20,500000,25:26.7,System02,59:59.0,Shalok01,25:26.7,59:59.0
128,GSA,ACI,21,500000,25:26.7,System02,59:59.0,Shalok01,25:26.7,59:59.0
129,GSA,ACI,22,500000,25:26.7,System02,59:59.0,Shalok01,25:26.7,59:59.0
130,GSA,ACI,23,500000,25:26.7,System02,59:59.0,Shalok01,25:26.7,59:59.0
131,GSA,ACI,24,500000,25:26.7,System02,59:59.0,Shalok01,25:26.7,59:59.0
132,GSA,ACI,25,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
133,GSA,ACI,26,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
134,GSA,ACI,27,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
135,GSA,ACI,28,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
136,GSA,ACI,29,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
137,GSA,ACI,30,500000,25:26.8,System02,59:59.0,Shalok01,25:26.8,59:59.0
138,GSA,ACI,31,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
139,GSA,ACI,32,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
140,GSA,ACI,33,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
141,GSA,ACI,34,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
142,GSA,ACI,35,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
143,GSA,ACI,36,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
144,GSA,ACI,37,500000,25:26.9,System02,59:59.0,Shalok01,25:26.9,59:59.0
145,GSA,ACI,38,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
146,GSA,ACI,39,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
147,GSA,ACI,40,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
148,GSA,ACI,41,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
149,GSA,ACI,42,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
150,GSA,ACI,43,500000,25:27.0,System02,59:59.0,Shalok01,25:27.0,59:59.0
151,GSA,ACI,44,500000,25:27.1,System02,59:59.0,Shalok01,25:27.1,59:59.0
152,GSA,ACI,45,500000,25:27.1,System02,59:59.0,Shalok01,25:27.1,59:59.0
153,GSA,ACI,46,500000,25:27.1,System02,59:59.0,Shalok01,25:27.1,59:59.0
154,GSA,ACI,47,500000,25:27.1,System02,59:59.0,Shalok01,25:27.1,59:59.0
155,GSA,ACI,48,500000,25:27.1,System02,59:59.0,Shalok01,25:27.1,59:59.0
156,GSA,ACI,49,500000,25:27.2,System02,59:59.0,Shalok01,25:27.2,59:59.0
157,GSA,ACI,50,500000,25:27.2,System02,59:59.0,Shalok01,25:27.2,59:59.0
158,GSA,ACI,51,500000,25:27.2,System02,59:59.0,Shalok01,25:27.2,59:59.0
159,GSA,ACI,52,500000,25:27.2,System02,59:59.0,Shalok01,25:27.2,59:59.0
160,GSA,ACI,53,500000,25:27.2,System02,59:59.0,Shalok01,25:27.2,59:59.0
161,GSA,ACI,54,500000,25:27.3,System02,59:59.0,Shalok01,25:27.3,59:59.0
162,GSA,ACI,55,500000,25:27.3,System02,59:59.0,Shalok01,25:27.3,59:59.0
163,GSA,ACI,56,500000,25:27.3,System02,59:59.0,Shalok01,25:27.3,59:59.0
164,GSA,ACI,57,500000,25:27.3,System02,59:59.0,Shalok01,25:27.3,59:59.0
